event,type,date
+5xp,xp,2023-05-24 15:17:21.631158188 +02:00
task master done,cmd,2023-05-24 15:17:21.638344558 +02:00
+5xp,xp,2023-05-24 15:22:32.630190611 +02:00
+5xp,xp,2023-05-24 15:22:32.637138624 +02:00
task master done,cmd,2023-05-24 15:22:32.643470402 +02:00
J'ai repris le travail après avoir été évasé,log,2023-05-24 18:10:56.017987685 +02:00
+5xp,xp,2023-05-29 11:38:12.982754701 +02:00
task programme done,cmd,2023-05-29 11:38:12.986632517 +02:00
+5xp,xp,2023-05-29 11:43:09.952431498 +02:00
task programme done,cmd,2023-05-29 11:43:09.959188784 +02:00
+5xp,xp,2023-05-29 11:49:30.861168163 +02:00
task programme done,cmd,2023-05-29 11:49:30.868056162 +02:00
+5xp,xp,2023-05-29 11:54:54.612342915 +02:00
task code done,cmd,2023-05-29 11:54:54.620173911 +02:00
+5xp,xp,2023-05-29 12:00:09.111213082 +02:00
task code done,cmd,2023-05-29 12:00:09.115131811 +02:00
+5xp,xp,2023-05-29 12:05:28.109836075 +02:00
task code done,cmd,2023-05-29 12:05:28.117290794 +02:00
pause,log,2023-05-29 12:05:40.680712264 +02:00
+5xp,xp,2023-05-29 12:13:04.032833008 +02:00
task code done,cmd,2023-05-29 12:13:04.039735291 +02:00
+5xp,xp,2023-05-29 12:17:59.615469233 +02:00
task code done,cmd,2023-05-29 12:17:59.619016895 +02:00
status,cmd,2023-05-29 12:18:06.731574975 +02:00
show,cmd,2023-05-29 12:18:10.179611164 +02:00
log,cmd,2023-05-29 12:18:20.275779261 +02:00
show,cmd,2023-05-29 12:18:29.660383984 +02:00
profile,cmd,2023-05-29 12:18:47.686865598 +02:00
+5xp,xp,2023-05-29 12:24:42.629612275 +02:00
task code done,cmd,2023-05-29 12:24:42.637043550 +02:00
+5xp,xp,2023-05-29 12:29:58.808018429 +02:00
task code done,cmd,2023-05-29 12:29:58.814947382 +02:00
+5xp,xp,2023-05-29 12:35:34.166250031 +02:00
task code done,cmd,2023-05-29 12:35:34.170920129 +02:00
+5xp,xp,2023-05-29 12:40:37.271039156 +02:00
task code done,cmd,2023-05-29 12:40:37.275538434 +02:00
+5xp,xp,2023-05-29 12:58:49.848233595 +02:00
task programme done,cmd,2023-05-29 12:58:49.856085620 +02:00
profile,cmd,2023-05-29 12:58:53.765119450 +02:00
+5xp,xp,2023-05-29 13:09:31.402477199 +02:00
task programme done,cmd,2023-05-29 13:09:31.410964263 +02:00
+5xp,xp,2023-05-29 13:17:56.300080370 +02:00
task programme done,cmd,2023-05-29 13:17:56.307888958 +02:00
profile,cmd,2023-05-29 13:30:50.552010756 +02:00
task buchs done,cmd,2023-05-29 14:17:36.537953057 +02:00
+5xp,xp,2023-05-29 14:55:32.781404473 +02:00
task code done,cmd,2023-05-29 14:55:32.787489489 +02:00
+5xp,xp,2023-05-29 14:55:33.649710121 +02:00
task code done,cmd,2023-05-29 14:55:33.654013077 +02:00
+5xp,xp,2023-05-29 14:55:34.497915715 +02:00
task code done,cmd,2023-05-29 14:55:34.502800801 +02:00
pause,log,2023-05-29 14:55:41.396425844 +02:00
task buchs done,cmd,2023-05-29 15:16:08.240767847 +02:00
